t_rel,epoch,packet_bytes,sim_time,pos_x,pos_y,pos_z,att_x,att_y,att_z,att_w,vel_x,vel_y,vel_z,gyro_pitch,gyro_roll,gyro_yaw,in_throttle,in_yaw,in_pitch,in_roll,batt_voltage,batt_pct,armed,motor_0,motor_1,motor_2,motor_3
-0.34354,1780552214.74727,97,1.019999384880066,606.0999755859375,1.7123873233795166,523.4000854492188,-0.0007584347622469068,0.26043543219566345,0.00016960194625426084,-0.965490996837616,5.1873324991902336e-05,-2.6479363441467285e-05,-0.00011089193867519498,-0.19458915293216705,0.012496384792029858,-0.04970533028244972,-0.8983879089355469,0.005378972738981247,0.0014684282941743731,-0.003426333423703909,1.0,0.0,1,1194.4605712890625,1194.4605712890625,1194.4605712890625,1194.4605712890625
-0.341151,1780552214.749659,97,1.0299993753433228,606.0999755859375,1.712387204170227,523.4000854492188,-0.0007576378411613405,0.26042410731315613,0.00017123522411566228,-0.9654940366744995,4.3038126023020595e-05,-2.6345252990722656e-05,-0.00014071908663026989,-0.2096962183713913,0.023452194407582283,0.024213779717683792,-0.8983879089355469,0.005378972738981247,0.0014684282941743731,-0.003426333423703909,1.0,0.0,1,1194.4605712890625,1194.4605712890625,1194.4605712890625,1194.4605712890625
-0.341095,1780552214.749715,97,1.0399993658065796,606.0999755859375,1.7123870849609375,523.4000854492188,-0.0007559225196018815,0.26041311025619507,0.00017222226597368717,-0.9654970169067383,4.118249489692971e-05,-2.504885196685791e-05,-0.00014533486682921648,-0.2149048149585724,0.030255276709794998,0.02126506343483925,-0.9960918426513672,0.005378972738981247,0.0014684282941743731,-0.003426333423703909,1.0,0.0,1,1194.4605712890625,1194.4605712890625,1194.4605712890625,1194.4605712890625
-0.341063,1780552214.749747,97,1.0499993562698364,606.0999755859375,1.712386965751648,523.4000854492188,-0.0007540578953921795,0.2604021728038788,0.0001730752846924588,-0.965499997138977,4.073396485182457e-05,-2.4780631065368652e-05,-0.00014613605162594467,-0.21571551263332367,0.031599316745996475,0.02076701447367668,-0.9960918426513672,0.005378972738981247,0.0014684282941743731,-0.003426333423703909,1.0,0.0,1,1194.4605712890625,1194.4605712890625,1194.4605712890625,1194.4605712890625
-0.341035,1780552214.749775,97,1.0599993467330933,606.0999755859375,1.7123868465423584,523.4000854492188,-0.0007521697552874684,0.2603912353515625,0.00017390323046129197,-0.965502917766571,4.064307358930819e-05,-2.4743378162384033e-05,-0.00014627387281507254,-0.21584652364253998,0.031844645738601685,0.020683856680989265,-0.9960918426513672,0.005378972738981247,0.0014684282941743731,-0.003426333423703909,1.0,0.0,1,1194.4605712890625,1194.4605712890625,1194.4605712890625,1194.4605712890625
-0.341007,1780552214.749804,97,1.06999933719635,606.0999755859375,1.7123867273330688,523.4000854492188,-0.0007502770167775452,0.2603802978992462,0.00017472713079769164,-0.965505838394165,4.062842344865203e-05,-2.473592758178711e-05,-0.0001463037624489516,-0.2158767282962799,0.03188292309641838,0.020676055923104286,-0.9960918426513672,0.005378972738981247,0.0014684282941743731,-0.003426333423703909,1.0,0.0,1,1194.4605712890625,1194.4605712890625,1194.4605712890625,1194.4605712890625
-0.340978,1780552214.749832,97,1.079999327659607,606.0999755859375,1.7123866081237793,523.4000854492188,-0.0007483832305297256,0.2603693902492523,0.00017555069644004107,-0.9655088782310486,4.0626990085002035e-05,-2.473592758178711e-05,-0.0001463181833969429,-0.21589472889900208,0.03188815340399742,0.02068251557648182,-0.9960918426513672,0.005378972738981247,0.0014684282941743731,-0.003426333423703909,1.0,0.0,1,1194.4605712890625,1194.4605712890625,1194.4605712890625,1194.4605712890625
-0.340947,1780552214.749863,97,1.0899993181228638,606.0999755859375,1.7123868465423584,523.4000854492188,-0.0007445444352924824,0.2603568732738495,0.0001608920720173046,-0.9655121564865112,-7.371322135441005e-05,2.1345913410186768e-05,-0.00019709770276676863,-0.19009217619895935,0.23006480932235718,0.03508339822292328,-0.9960918426513672,0.004400977864861488,0.0014684282941743731,-0.003426333423703909,1.0,0.0,1,1194.4605712890625,1194.4605712890625,1194.4605712890625,1194.4605712890625
-0.340917,1780552214.749893,97,1.0999993085861206,606.0999755859375,1.7123878002166748,523.4000854492188,-0.0007643966237083077,0.26035168766975403,0.00016715590027160943,-0.9655136466026306,6.0353369917720556e-05,-5.605071783065796e-05,-2.3075641365721822e-05,-0.0783635750412941,-0.08201105147600174,-0.006397834047675133,-0.9960918426513672,0.004400977864861488,0.0014684282941743731,-0.003426333423703909,1.0,0.0,1,1194.4605712890625,1194.4605712890625,1194.4605712890625,1194.4605712890625
-0.340888,1780552214.749923,97,1.1099992990493774,606.0999755859375,1.7123876810073853,523.4000854492188,-0.0007665404118597507,0.26034167408943176,0.00017007622227538377,-0.965516209602356,4.7288373025367036e-05,-2.9399991035461426e-05,-0.0001218529578181915,-0.18987026810646057,0.005457218736410141,0.018998702988028526,-0.9960918426513672,0.004400977864861488,0.0014684282941743731,-0.003426333423703909,1.0,0.0,1,1194.4605712890625,1194.4605712890625,1194.4605712890625,1194.4605712890625
